"id","id_prod","cantidad","fecha_ingreso","fecha_venc","created_at","updated_at"
1,1,1,"28/06/2022","28/06/2022",,
2,2,10,"08/07/2022","08/07/2022",,
3,3,26,"11/06/2022","30/11/2022",,
4,4,25,"09/07/2022","09/07/2022",,
5,5,6,"06/07/2022","06/07/2022",,
6,6,15,"24/06/2022","24/06/2022",,
7,7,20,"24/06/2022","24/06/2022",,
8,8,10,"11/06/2022","28/03/2023",,
9,9,19,"11/06/2022","26/04/2023",,
10,10,4,"11/06/2022","21/07/2022",,
11,11,4,"11/06/2022","02/03/2023",,
12,12,5,"11/06/2022","17/02/2022",,
13,13,21,"28/06/2022","28/06/2022",,
14,14,8,"06/07/2022","06/07/2022",,
15,15,2,"19/07/2022","19/07/2022",,
16,16,11,"16/07/2022","16/07/2022",,
17,17,12,"11/06/2022","26/02/2024",,
18,18,6,"11/06/2022","30/06/2022",,
19,19,20,"11/06/2022","30/09/2022",,
20,20,13,"11/06/2022","30/09/2022",,
21,21,3,"14/07/2022","14/07/2022",,
22,22,13,"11/06/2022","06/01/2026",,
23,23,9,"11/06/2022","19/06/2023",,
24,24,1,"11/06/2022","31/12/2022",,
25,25,4,"11/06/2022","17/06/2023",,
26,26,4,"11/06/2022","27/08/2024",,
27,27,20,"24/06/2022","24/06/2022",,
28,28,1,"11/06/2022","28/01/2024",,
29,29,1,"08/07/2022","08/07/2022",,
30,30,2,"11/06/2022","21/10/2026",,
31,31,10,"05/07/2022","05/07/2022",,
32,32,4,"04/07/2022","04/07/2022",,
33,33,17,"11/06/2022","12/03/2025",,
34,34,11,"11/06/2022","29/07/2025",,
35,35,5,"11/06/2022","09/03/2024",,
36,36,2,"11/06/2022","26/02/2024",,
37,37,1,"05/07/2022","05/07/2022",,
38,38,5,"06/07/2022","06/07/2022",,
39,39,6,"06/07/2022","06/07/2022",,
40,40,20,"11/06/2022","10/12/2022",,
41,41,18,"04/07/2022","04/07/2022",,
42,42,9,"12/06/2022","30/06/2022",,
43,43,7,"12/06/2022","25/01/2022",,
44,44,3,"12/06/2022","02/09/2022",,
45,45,-1,"12/06/2022","02/09/2022",,
46,46,-1,"12/06/2022","07/06/2022",,
47,47,3,"12/07/2022","12/07/2022",,
48,48,8,"12/06/2022","26/07/2022",,
49,49,4,"12/06/2022","30/06/2023",,
50,50,1,"12/06/2022","30/06/2023",,
51,51,2,"12/06/2022","02/08/2024",,
52,52,2,"06/07/2022","06/07/2022",,
53,53,6,"12/06/2022","17/01/2024",,
54,54,19,"04/07/2022","04/07/2022",,
55,55,19,"04/07/2022","04/07/2022",,
56,56,5,"12/06/2022","26/07/2023",,
57,57,2,"12/06/2022","08/03/2024",,
58,58,4,"12/06/2022","02/04/2024",,
59,59,5,"12/06/2022","05/08/2022",,
60,60,2,"12/06/2022","27/08/2022",,
61,61,4,"12/06/2022","17/08/2022",,
62,62,2,"12/06/2022","17/08/2022",,
63,63,10,"04/07/2022","04/07/2022",,
64,64,24,"12/06/2022","29/04/2023",,
65,65,24,"12/06/2022","20/08/2023",,
66,66,23,"12/06/2022","20/01/2023",,
67,67,22,"12/06/2022","29/04/2023",,
68,68,19,"12/06/2022","29/04/2023",,
69,69,17,"12/06/2022","29/04/2023",,
70,70,24,"12/06/2022","28/05/2023",,
71,71,18,"12/06/2022","20/09/2023",,
72,72,45,"12/06/2022","28/05/2023",,
73,73,39,"12/06/2022","29/04/2023",,
74,74,25,"12/06/2022","23/04/2023",,
75,75,47,"12/06/2022","23/04/2023",,
76,76,46,"12/06/2022","23/04/2023",,
77,77,4,"05/07/2022","05/07/2022",,
78,78,4,"04/07/2022","04/07/2022",,
79,79,4,"12/06/2022","29/04/2023",,
80,80,1,"12/06/2022","25/10/2022",,
81,81,5,"06/07/2022","06/07/2022",,
82,82,6,"12/06/2022","29/04/2022",,
83,83,9,"12/06/2022","14/09/2023",,
84,84,4,"04/07/2022","04/07/2022",,
85,85,15,"04/07/2022","04/07/2022",,
86,86,4,"12/06/2022","16/06/2022",,
87,87,1,"12/06/2022","05/10/2022",,
88,88,4,"06/07/2022","06/07/2022",,
89,89,2,"19/07/2022","19/07/2022",,
90,90,2,"18/07/2022","18/07/2022",,
91,91,3,"18/07/2022","18/07/2022",,
92,92,1,"18/07/2022","18/07/2022",,
93,93,0,"18/07/2022","18/07/2022",,
94,94,1,"18/07/2022","18/07/2022",,
95,95,1,"12/06/2022","04/08/2022",,
96,96,1,"18/07/2022","18/07/2022",,
97,97,0,"18/07/2022","18/07/2022",,
98,98,9,"12/06/2022","30/06/2022",,
99,99,4,"12/06/2022","18/05/2022",,
100,100,2,"12/06/2022","27/00/8202",,
101,101,10,"12/06/2022","30/06/2022",,
102,102,17,"12/06/2022","30/06/2022",,
103,103,4,"12/06/2022","30/06/2022",,
104,104,17,"12/06/2022","30/06/2022",,
105,105,17,"06/07/2022","06/07/2022",,
106,106,14,"13/06/2022","30/10/2022",,
107,107,13,"13/06/2022","30/10/2022",,
108,108,3,"13/06/2022","30/06/2022",,
109,109,6,"06/07/2022","06/07/2022",,
110,110,0,"30/06/2022","30/06/2022",,
111,111,9,"24/06/2022","01/04/2023",,
112,112,10,"24/06/2022","31/12/2022",,
113,113,10,"24/06/2022","31/08/2022",,
114,114,2,"13/07/2022","13/07/2022",,
115,115,10,"24/06/2022","27/08/2023",,
116,116,4,"24/06/2022","23/02/2023",,
117,117,3,"24/06/2022","27/08/2022",,
118,118,5,"25/06/2022","31/12/2022",,
119,119,6732,"12/07/2022","12/07/2022",,
120,120,7000,"25/06/2022","31/12/2022",,
121,121,7048,"25/06/2022","31/12/2022",,
122,122,1600,"25/06/2022","14/10/2022",,
123,123,3000,"02/07/2022","02/07/2022",,
124,124,7120,"26/06/2022","31/12/2022",,
125,125,6400,"26/06/2022","30/12/2022",,
126,126,7120,"26/06/2022","31/12/2022",,
127,127,10,"26/06/2022","31/12/2022",,
128,128,20,"26/06/2022","16/07/2022",,
129,129,24,"26/06/2022","17/08/2022",,
130,130,12,"26/06/2022","31/12/2022",,
131,131,10,"26/06/2022","25/12/2022",,
132,132,2,"26/06/2022","27/07/2022",,
133,133,5,"26/06/2022","01/09/2022",,
134,134,5,"26/06/2022","01/09/2022",,
135,135,5,"26/06/2022","31/08/2022",,
136,136,12,"26/06/2022","07/08/2022",,
137,137,12,"26/06/2022","07/08/2022",,
138,138,5,"26/06/2022","30/06/2022",,
139,139,5,"26/06/2022","08/07/2022",,
140,140,1,"26/06/2022","03/07/2022",,
141,141,5,"26/06/2022","06/07/2022",,
142,142,5,"26/06/2022","05/07/2022",,
143,143,2,"26/06/2022","04/07/2022",,
144,144,5,"26/06/2022","22/07/2022",,
145,145,5,"26/06/2022","12/01/2024",,
146,146,19,"26/06/2022","14/01/2023",,
147,147,19,"26/06/2022","05/04/2023",,
148,148,20,"26/06/2022","26/06/2022",,
149,149,43,"17/07/2022","17/07/2022",,
150,150,20,"28/06/2022","31/12/2022",,
151,151,20,"28/06/2022","31/12/2022",,
152,152,1,"03/07/2022","03/07/2022",,
153,153,20,"04/07/2022","04/07/2022",,
154,154,25,"28/06/2022","21/12/2022",,
155,155,24,"04/07/2022","04/07/2022",,
156,156,22,"04/07/2022","04/07/2022",,
157,157,24,"04/07/2022","04/07/2022",,
158,158,1,"28/06/2022","31/12/2022",,
159,159,36,"28/06/2022","31/12/2022",,
160,160,35,"28/06/2022","31/12/2022",,
161,161,12,"28/06/2022","31/12/2022",,
162,162,23,"28/06/2022","31/12/2022",,
163,163,38,"28/06/2022","31/12/2022",,
164,164,24,"28/06/2022","28/06/2022",,
165,165,23,"28/06/2022","28/06/2022",,
166,166,21,"03/07/2022","03/07/2022",,
167,167,11,"12/07/2022","12/07/2022",,
168,168,35,"29/06/2022","07/02/2023",,
169,169,8,"29/06/2022","01/07/2022",,
170,170,4,"29/06/2022","31/12/2022",,
171,171,3,"29/06/2022","04/07/2022",,
172,172,11,"29/06/2022","13/07/2022",,
173,173,2,"11/07/2022","11/07/2022",,
174,174,1,"06/07/2022","06/07/2022",,
175,175,-2,"06/07/2022","06/07/2022",,
176,176,6,"29/06/2022","31/01/2023",,
177,177,13,"12/07/2022","12/07/2022",,
178,178,37,"03/07/2022","03/07/2022",,
179,179,3,"03/07/2022","03/07/2022",,
180,180,3,"03/07/2022","03/07/2022",,
181,181,5,"03/07/2022","03/07/2022",,
182,182,4,"03/07/2022","03/07/2022",,
183,183,-636,"03/07/2022","03/07/2022",,
184,184,1,"29/06/2022","29/09/2022",,
185,185,2,"29/06/2022","31/07/2022",,
186,186,4,"29/06/2022","09/01/2023",,
187,187,9,"29/06/2022","09/01/2023",,
188,188,5,"29/06/2022","03/10/2022",,
189,189,5,"29/06/2022","06/10/2022",,
190,190,7,"29/06/2022","31/01/2023",,
191,191,11,"29/06/2022","31/04/2023",,
192,192,4,"29/06/2022","23/04/2023",,
193,193,5,"29/06/2022","23/04/2023",,
194,194,3,"29/06/2022","23/04/2023",,
195,195,2,"29/06/2022","31/12/2023",,
196,196,1,"12/07/2022","12/07/2022",,
197,197,1,"29/06/2022","31/12/2022",,
198,198,2,"14/07/2022","14/07/2022",,
199,199,0,"19/07/2022","19/07/2022",,
200,200,8,"19/07/2022","19/07/2022",,
201,201,3,"29/06/2022","31/12/2022",,
202,202,3,"29/06/2022","31/12/2022",,
203,203,12,"29/06/2022","31/12/2022",,
204,204,3,"29/06/2022","31/12/2022",,
205,205,-2,"30/06/2022","30/06/2022",,
206,206,1,"30/06/2022","30/06/2022",,
207,207,9,"30/06/2022","18/08/2022",,
208,208,3,"30/06/2022","31/12/2022",,
209,209,2,"30/06/2022","31/12/2022",,
210,210,1,"30/06/2022","31/12/2022",,
211,211,3,"30/06/2022","31/12/2022",,
212,212,5,"30/06/2022","27/03/2023",,
213,213,2,"16/07/2022","16/07/2022",,
214,214,3,"30/06/2022","23/03/2023",,
215,215,14,"30/06/2022","31/12/2022",,
216,216,7,"30/06/2022","31/12/2022",,
217,217,11,"30/06/2022","31/12/2023",,
218,218,22,"30/06/2022","31/12/2023",,
219,219,20,"30/06/2022","30/06/2022",,
220,220,20,"30/06/2022","30/06/2022",,
221,221,24,"30/06/2022","30/03/2023",,
222,222,10,"30/06/2022","30/06/2022",,
223,223,2,"04/07/2022","04/07/2022",,
224,224,42,"30/06/2022","01/01/2023",,
225,225,2,"30/06/2022","31/12/2023",,
226,226,5,"30/06/2022","30/11/2024",,
227,227,2,"30/06/2022","30/07/2024",,
228,228,-1,"30/06/2022","29/04/203",,
229,229,10,"30/06/2022","31/12/223",,
230,230,5,"30/06/2022","30/06/2022",,
231,231,5,"30/06/2022","30/06/2022",,
232,232,4,"30/06/2022","31/12/2022",,
233,233,11,"30/06/2022","31/12/2023",,
234,234,7,"12/07/2022","12/07/2022",,
235,235,2,"12/07/2022","12/07/2022",,
236,236,24,"30/06/2022","31/12/2023",,
237,237,11,"06/07/2022","06/07/2022",,
238,238,2,"30/06/2022","31/12/2023",,
239,239,10,"30/06/2022","31/12/2023",,
240,240,4,"30/06/2022","08/07/2023",,
241,241,3,"30/06/2022","03/11/2023",,
242,242,6,"30/06/2022","13/07/2024",,
243,243,1,"03/07/2022","03/07/2022",,
244,244,0,"03/07/2022","03/07/2022",,
245,245,39,"03/07/2022","03/07/2022",,
246,246,17,"30/06/2022","12/07/2022",,
247,247,19,"30/06/2022","10/02/2021",,
248,248,6,"30/06/2022","31/12/2024",,
249,249,8,"30/06/2022","31/12/2024",,
250,250,2,"30/06/2022","31/12/2023",,
251,251,2,"30/06/2022","31/12/2023",,
252,252,2,"12/07/2022","12/07/2022",,
253,253,6,"30/06/2022","31/12/2024",,
254,254,3,"03/07/2022","03/07/2022",,
255,255,4,"30/06/2022","30/06/2022",,
256,256,5,"30/06/2022","31/12/2024",,
257,257,10,"30/06/2022","31/12/2024",,
258,258,3,"12/07/2022","12/07/2022",,
259,259,6,"30/06/2022","31/12/2024",,
260,260,5,"30/06/2022","31/12/2023",,
261,261,4,"30/06/2022","31/12/2024",,
262,262,3,"30/06/2022","31/12/2023",,
263,263,3,"30/06/2022","31/12/2023",,
264,264,9,"12/07/2022","12/07/2022",,
265,265,2,"12/07/2022","12/07/2022",,
266,266,6,"30/06/2022","31/12/2022",,
267,267,7,"30/06/2022","29/01/2023",,
268,268,10,"30/06/2022","28/02/2023",,
269,269,8,"30/06/2022","30/08/2023",,
270,270,4,"30/06/2022","30/11/2023",,
271,271,5,"03/07/2022","03/07/2022",,
272,272,3,"03/07/2022","03/07/2022",,
273,273,7,"03/07/2022","03/07/2022",,
274,274,2,"30/06/2022","31/08/2023",,
275,275,3,"30/06/2022","17/05/2023",,
276,276,4,"30/06/2022","25/12/2023",,
277,277,1,"12/07/2022","12/07/2022",,
278,278,1,"30/06/2022","29/07/2023",,
279,279,2,"05/07/2022","05/07/2022",,
280,280,3,"04/07/2022","04/07/2022",,
281,281,9,"01/07/2022","29/04/2023",,
282,282,16,"05/07/2022","05/07/2022",,
283,283,6,"05/07/2022","05/07/2022",,
284,284,19,"01/07/2022","11/04/2024",,
285,285,15,"04/07/2022","04/07/2022",,
286,286,8,"04/07/2022","15/09/2023",,
287,287,8,"04/07/2022","26/03/2023",,
288,288,11,"04/07/2022","31/12/2023",,
289,289,11,"04/07/2022","04/07/2022",,
290,290,9,"04/07/2022","31/12/2023",,
291,291,5,"04/07/2022","02/06/2023",,
292,292,3,"04/07/2022","09/09/2023",,
293,293,6,"04/07/2022","31/12/2022",,
294,294,1,"04/07/2022","31/12/2022",,
295,295,10,"04/07/2022","31/12/2022",,
296,296,38,"04/07/2022","31/12/2023",,
297,297,14,"04/07/2022","31/12/2022",,
298,298,24,"04/07/2022","31/12/2022",,
299,299,5,"04/07/2022","09/03/2023",,
300,300,6,"04/07/2022","09/03/2023",,
301,301,2,"04/07/2022","14/03/2023",,
302,302,5,"04/07/2022","30/09/2023",,
303,303,2,"04/07/2022","04/07/2022",,
304,304,5,"19/07/2022","19/07/2022",,
305,305,20,"04/07/2022","04/07/2022",,
306,306,2,"18/07/2022","18/07/2022",,
307,307,1,"18/07/2022","18/07/2022",,
308,308,1,"18/07/2022","18/07/2022",,
309,309,-1,"04/07/2022","31/11/2022",,
310,310,3,"04/07/2022","31/10/2022",,
311,311,5,"04/07/2022","31/08/2022",,
312,312,2,"04/07/2022","20/07/2023",,
313,313,3,"04/07/2022","31/12/2022",,
314,314,4,"04/07/2022","31/12/2022",,
315,315,2,"04/07/2022","31/12/2022",,
316,316,5,"04/07/2022","31/12/2022",,
317,317,10,"04/07/2022","04/07/2022",,
318,318,16,"19/07/2022","19/07/2022",,
319,319,8,"04/07/2022","01/06/2023",,
320,320,9,"04/07/2022","27/05/2023",,
321,321,7,"04/07/2022","27/05/2023",,
322,322,8,"04/07/2022","21/12/2024",,
323,323,5,"04/07/2022","10/09/2023",,
324,324,5,"04/07/2022","20/02/2025",,
325,325,2,"04/07/2022","01/09/2022",,
326,326,2,"16/07/2022","16/07/2022",,
327,327,4,"16/07/2022","16/07/2022",,
328,328,15,"04/07/2022","04/07/2022",,
329,329,6,"04/07/2022","05/07/2023",,
330,330,14,"04/07/2022","23/08/2023",,
331,331,6,"04/07/2022","01/03/2023",,
332,332,5,"04/07/2022","18/02/2023",,
333,333,8,"04/07/2022","31/12/2023",,
334,334,33,"04/07/2022","23/02/2023",,
335,335,2,"04/07/2022","31/03/2023",,
336,336,3,"04/07/2022","31/10/2022",,
337,337,2,"04/07/2022","01/06/2023",,
338,338,2,"04/07/2022","01/11/2023",,
339,339,23,"19/07/2022","25/09/2022",,
340,340,29,"19/07/2022","17/09/2022",,
341,341,12,"04/07/2022","31/12/2024",,
342,342,12,"05/07/2022","12/08/2022",,
343,343,13,"14/07/2022","14/07/2022",,
344,344,60,"05/07/2022","31/08/2023",,
345,345,30,"05/07/2022","31/08/2024",,
346,346,30,"05/07/2022","30/04/2025",,
347,347,30,"05/07/2022","30/04/25",,
348,348,20,"05/07/2022","30/03/2024",,
349,349,20,"05/07/2022","30/03/2023",,
350,350,30,"05/07/2022","30/09/2024",,
351,351,10,"05/07/2022","30/03/2024",,
352,352,10,"05/07/2022","01/30/2024",,
353,353,10,"05/07/2022","30/07/2024",,
354,354,10,"05/07/2022","30/07/2023",,
355,355,7,"06/07/2022","31/12/2022",,
356,356,14,"06/07/2022","12/08/2023",,
357,357,5,"15/07/2022","15/07/2022",,
358,358,8,"15/07/2022","15/07/2022",,
359,359,3,"15/07/2022","15/07/2022",,
360,360,12,"08/07/2022","30/07/2022",,
361,361,13,"19/07/2022","19/07/2022",,
362,362,4,"08/07/2022","31/12/2022",,
363,363,1,"12/07/2022","31/12/2022",,
364,364,1,"12/07/2022","31/12/2022",,
365,365,1,"13/07/2022","31/12/2022",,
366,366,12,"15/07/2022","19/09/2022",,
367,367,9,"15/07/2022","03/10/2022",,
368,368,10,"15/07/2022","17/10/2022",,
369,369,28,"15/07/2022","09/04/2023",,
370,370,24,"15/07/2022","30/04/2024",,
371,371,28,"15/07/2022","25/05/2023",,
372,372,15,"15/07/2022","30/04/2023",,
373,373,23,"15/07/2022","15/07/2022",,
374,374,9,"16/07/2022","04/07/2023",,
375,375,3,"16/07/2022","04/12/2022",,
376,376,6,"16/07/2022","11/09/2022",,
377,377,4,"16/07/2022","13/01/2022",,
378,378,3,"16/07/2022","06/05/2025",,
379,379,3941,"16/07/2022","31/07/2022",,
380,380,92,"16/07/2022","30/12/2222",,
381,383,19,"18/07/2022","31/12/2023",,
